town,percent_afford,year,exmp_status,exp_status
Ansonia,15.18,2018,Exempt,
Bloomfield,10.88,2018,Exempt,
Bridgeport,20.33,2018,Exempt,
Bristol,13.35,2018,Exempt,
Danbury,10.83,2018,Exempt,
Derby,11.51,2018,Exempt,
East Hartford,15.66,2018,Exempt,
East Windsor,14.17,2018,Exempt,
Enfield,12.41,2018,Exempt,
Groton,22.52,2018,Exempt,
Hartford,38.67,2018,Exempt,
Killingly,10.99,2018,Exempt,
Manchester,14.2,2018,Exempt,
Meriden,15.75,2018,Exempt,
Middletown,22.1,2018,Exempt,
New Britain,18.16,2018,Exempt,
New Haven,31.88,2018,Exempt,
New London,22.47,2018,Exempt,
Norwalk,12.75,2018,Exempt,
Norwich,18.73,2018,Exempt,
Plainfield,12.59,2018,Exempt,
Putnam,12.31,2018,Exempt,
Stamford,15.12,2018,Exempt,
Torrington,10.66,2018,Exempt,
Vernon,16.5,2018,Exempt,
Waterbury,20.93,2018,Exempt,
West Haven,13.21,2018,Exempt,
Winchester,11.01,2018,Exempt,
Windham,28.56,2018,Exempt,
Andover,3.42,2018,Non-Exempt,
Ashford,3.36,2018,Non-Exempt,
Avon,3.94,2018,Non-Exempt,
Barkhamsted,1.38,2018,Non-Exempt,
Beacon Falls,1.71,2018,Non-Exempt,
Berlin,9.23,2018,Non-Exempt,
Bethany,0.59,2018,Non-Exempt,
Bethel,5.85,2018,Non-Exempt,
Bethlehem,2.03,2018,Non-Exempt,
Bolton,1.29,2018,Non-Exempt,
Bozrah,3.02,2018,Non-Exempt,
Branford,3.21,2018,Non-Exempt,
Bridgewater,0.11,2018,Non-Exempt,
Brookfield,5.36,2018,Non-Exempt,
Brooklyn,9.61,2018,Non-Exempt,
Burlington,1.89,2018,Non-Exempt,
Canaan,5.78,2018,Non-Exempt,
Canterbury,6.51,2018,Non-Exempt,
Canton,7.01,2018,Non-Exempt,
Chaplin,3.24,2018,Non-Exempt,
Cheshire,3.68,2018,Non-Exempt,
Chester,2.03,2018,Non-Exempt,
Clinton,2.79,2018,Non-Exempt,
Colchester,8.52,2018,Non-Exempt,
Colebrook,0.97,2018,Non-Exempt,
Columbia,3.64,2018,Non-Exempt,
Cornwall,3.28,2018,Non-Exempt,
Coventry,4.84,2018,Non-Exempt,
Cromwell,6.77,2018,Non-Exempt,
Darien,3.56,2018,Non-Exempt,
Deep River,2.86,2018,Non-Exempt,
Durham,2,2018,Non-Exempt,
Eastford,1.89,2018,Non-Exempt,
East Granby,5.34,2018,Non-Exempt,
East Haddam,2.8,2018,Non-Exempt,
East Hampton,3.23,2018,Non-Exempt,
East Haven,7.96,2018,Non-Exempt,
East Lyme,5.88,2018,Non-Exempt,
Easton,0.59,2018,Non-Exempt,
Ellington,5.45,2018,Non-Exempt,
Essex,2.91,2018,Non-Exempt,
Fairfield,2.43,2018,Non-Exempt,
Farmington,7.88,2018,Non-Exempt,
Franklin,5.58,2018,Non-Exempt,
Glastonbury,5.41,2018,Non-Exempt,
Goshen,0.24,2018,Non-Exempt,
Granby,3.1,2018,Non-Exempt,
Greenwich,5.06,2018,Non-Exempt,
Griswold,6.68,2018,Non-Exempt,
Guilford,2.39,2018,Non-Exempt,
Haddam,1.4,2018,Non-Exempt,
Hamden,8.47,2018,Non-Exempt,
Hampton,1.77,2018,Non-Exempt,
Hartland,0.7,2018,Non-Exempt,
Harwinton,2.23,2018,Non-Exempt,
Hebron,2.8,2018,Non-Exempt,
Kent,2.52,2018,Non-Exempt,
Killingworth,0.96,2018,Non-Exempt,
Lebanon,3.36,2018,Non-Exempt,
Ledyard,4.13,2018,Non-Exempt,
Lisbon,2.89,2018,Non-Exempt,
