town,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Ansonia,15.18,14.36,13.72,14.22,13.92,15.32,14.56,14.56,14.59,12.65,14.45,14.74,14.74,20.06,14.73,15.11,15.88
Bloomfield,10.88,10.66,10.82,11.19,11.65,11.59,11.38,11.38,12.17,11.6,11.62,11.45,10.63,12.42,11.78,13.54,15.29
Bridgeport,20.33,20.14,19.82,19.89,18.78,18.51,17.69,18.08,18.33,17.88,17.44,17.42,17.79,12.01,18.14,18.26,20.51
Bristol,13.35,13.96,13.66,14.22,13.04,13.45,13.25,13.24,13.56,13.63,13.52,13.45,13.06,16.6,12.98,13.52,15.42
Danbury,10.83,10.9,10.52,10.29,10.05,10.93,10.51,10.03,10.68,10.49,10.29,10.27,10.1,10.06,10.51,10.14,12.24
Derby,11.51,11.57,11.39,11.52,11.25,10.84,10.75,10.72,11.19,17.35,10.54,11.05,11.05,10.45,8.42,8.53,8.91
East Hartford,15.66,15.75,15.66,16.33,17.38,16.65,16.45,15.57,14.82,16.12,15.63,14.94,13.65,14.31,14.25,15.08,18.64
East Windsor,14.17,14.25,13.99,14.59,14.57,14.83,14.29,13,16.39,16.35,16.25,16.05,15.59,15.73,15.68,14.6,15.47
Enfield,12.41,12.27,11.98,12.5,12.18,12.21,12.01,12.01,12.25,12.46,12.28,12.15,12,11.96,12.39,13.08,13.94
Groton,22.52,22.5,22.39,22.67,22.49,20.53,20.39,20.41,21.76,21.66,21.56,21.45,21.41,21.4,21.95,22.27,25.71
Hartford,38.67,38.35,38.28,40.23,37.89,37.8,37.14,35.57,37.24,35.12,34.58,34.64,36.26,36.88,36.32,37.61,35.99
Killingly,10.99,12.29,12.24,13.83,14.36,14.94,12.63,11.92,13.11,13.23,11.04,11.35,12.16,12.35,11.23,13.74,16.91
Manchester,14.2,14.06,13.85,14.48,14.5,14.88,14.64,14.4,14.66,15.36,15.13,15.15,14.51,14.73,14.35,14.11,14.01
Meriden,15.75,16.06,15.75,16.48,15.97,14.8,14.71,14.57,15.33,14.71,14.62,14.6,14.5,15.14,14.79,16.97,19.09
Middletown,22.1,21.55,21.32,23.29,21.96,23.39,20.81,22.26,21.79,17.95,17.29,17.14,16.77,17.34,16.41,19.24,20.36
New Britain,18.16,18.46,18.22,20.11,21.13,20.71,20.32,19.82,17.6,18,17.51,17.62,16.89,16.98,17.14,18.88,19.64
New Haven,31.88,31.77,29.89,30.24,29.08,29.63,29.14,29,29,27.49,27.28,29.87,29.02,29.87,29.99,31.02,31.05
New London,22.47,23.09,22.95,23.45,24.86,20.11,19.9,19.87,21.4,21.11,20.82,20.55,20.8,21.11,21.14,20.23,21.23
Norwalk,12.75,12.72,18.72,12.32,11.83,11.62,11.43,11.37,11.56,11.38,11.31,11.01,10.92,11.45,11.77,10.81,12.23
Norwich,18.73,18.83,12.71,19.17,18.14,17.42,16.89,16.77,18.98,20.56,19.87,19.58,19.44,19.61,18.75,19.42,20.77
Plainfield,12.59,12.65,13.44,15.07,16.1,15.86,14.42,13.87,14.99,14.62,14.62,16.21,14.27,14.46,14.64,16.84,17.65
